# id	left	top	right	bottom	texture_id
[SPRITES]
#Orange
14001	86	73	101	88	21
14002	104	73	119	88	21
14003	122	73	137	88	21
14004	86	91	101	106	21
14005	104	91	119	106	21
14006	122	91	137	106	21
14007	86	109	101	124	21
14008	104	109	119	124	21
14009	122	109	137	124	21

#Blue
14011	386	55	401	70	21
14012	404	55	419	70	21
14013	422	55	437	70	21
14014	386	73	401	88	21
14015	404	73	419	88	21
14016	422	73	437	88	21
14017	386	91	401	106	21
14018	404	91	419	106	21
14019	422	91	437	106	21

#White
14021	26	109	41	124	21
14022	44	109	59	124	21
14023	62	109	77	124	21
14024	26	127	41	142	21
14025	44	127	59	142	21
14026	62	127	77	142	21
14027	26	145	41	160	21
14028	44	145	59	160	21
14029	62	145	77	160	21

#Dark green???
14031	206	109	221	124	21
14032	224	109	239	124	21
14033	242	109	257	124	21
14034	206	127	221	142	21
14035	224	127	239	142	21
14036	242	127	257	142	21
14037	206	145	221	160	21
14038	224	145	239	160	21
14039	242	145	257	160	21

#Light green???
14041	326	109	341	124	21
14042	344	109	359	124	21
14043	362	109	377	124	21
14044	326	127	341	142	21
14045	344	127	359	142	21
14046	362	127	377	142	21
14047	326	145	341	160	21
14048	344	145	359	160	21
14049	362	145	377	160	21

#Grass (World 1-4)
14051	1766	73	1781	88	21
14052	1784	73	1799	88	21
14053	1802	73	1817	88	21
14054	1766	91	1781	106	21
14055	1784	91	1799	106	21
14056	1802	91	1817	106	21

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
